,Step,AE_Keys,mean,std
184,48000,obj,2.4096022884671884,0.0004245353664549563
185,48000,rgb,3.187130302749574,0.08142771538601502
186,48000,rgb + obj,3.223612954777976,0.15517707760464974
187,48000,rgb + obj_encoding_only,3.1820603793486955,0.3258527216480343
188,49000,obj,2.392293970535199,0.0001004172530053658
189,49000,rgb,3.1600273273264365,0.10862835230063309
190,49000,rgb + obj,3.197668502914409,0.14063637563975215
191,49000,rgb + obj_encoding_only,3.140460298645,0.30492193450555805
192,50000,obj,2.3593127543106673,0.00012835149146773634
193,50000,rgb,3.127964718391498,0.10720720197708664
194,50000,rgb + obj,3.161695638547341,0.12763979872033326
195,50000,rgb + obj_encoding_only,3.108424948900938,0.33591393051224794
196,51000,obj,2.3422857654591405,0.00041004219597142236
197,51000,rgb,3.0945739010969797,0.09144175564593142
198,51000,rgb + obj,3.122794634103775,0.14115729555340897
199,51000,rgb + obj_encoding_only,3.083657811085383,0.2824871449389974
200,52000,obj,2.321757659005622,0.0006164348158793967
201,52000,rgb,3.0655123578384518,0.048936647921727736
202,52000,rgb + obj,3.1056833293909825,0.15588612813416286
203,52000,rgb + obj_encoding_only,3.056075543848177,0.31268081332087805
204,53000,obj,2.293767563253641,0.0002709934603291176
205,53000,rgb,3.0293590357527136,0.07134742333088484
206,53000,rgb + obj,3.061011486314237,0.11278441904524333
207,53000,rgb + obj_encoding_only,3.0135223359490433,0.34054227105867957
208,54000,obj,2.2662358564635117,0.0002937946412796304
209,54000,rgb,3.0004069161290925,0.1140713711168946
210,54000,rgb + obj,3.0367610287542144,0.13987311332851915
211,54000,rgb + obj_encoding_only,2.9931011509771146,0.3284206654643731
212,55000,obj,2.248093946836889,0.00022018303697067773
213,55000,rgb,2.9823475131144126,0.16865982517588715
214,55000,rgb + obj,3.0052259056518476,0.09589694429723523
215,55000,rgb + obj_encoding_only,2.959060185030103,0.331553687557464
216,56000,obj,2.2273142065852882,6.540881106138389e-05
217,56000,rgb,2.941529794285695,0.07874980018096701
218,56000,rgb + obj,2.9522455332179867,0.09318264285591496
219,56000,rgb + obj_encoding_only,2.920896239827077,0.32427280480326204
220,57000,obj,2.1951264714822174,0.00025592999929139676
221,57000,rgb,2.908737744701406,0.08272598147343692
222,57000,rgb + obj,2.937782102636993,0.0699321935160726
223,57000,rgb + obj_encoding_only,2.9074270624046523,0.3371121325321722
224,58000,obj,2.181711089300612,6.907067874050481e-05
225,58000,rgb,2.891012475763758,0.07481967255356098
226,58000,rgb + obj,2.9225995837400354,0.09736669577204499
227,58000,rgb + obj_encoding_only,2.8957991261035203,0.3330374362332644
228,59000,obj,2.181164532589416,0.0001872103017924525
229,59000,rgb,2.890811729244888,0.04608399964422483
230,59000,rgb + obj,2.9114254790668683,0.0886649316677487
231,59000,rgb + obj_encoding_only,2.869679641537368,0.3056895485356247
232,60000,obj,2.153216247508923,0.00014243044128661232
233,60000,rgb,2.8535618910565974,0.06251557391627574
234,60000,rgb + obj,2.868432153202593,0.09269980720700913
235,60000,rgb + obj_encoding_only,2.8346709697817767,0.277410550725158
236,61000,obj,2.1312142542873818,8.67899126586783e-05
237,61000,rgb,2.8254672728478907,0.05619600360316079
238,61000,rgb + obj,2.842045629272858,0.10629219950828471
239,61000,rgb + obj_encoding_only,2.813721502075593,0.2751707312568639
240,62000,obj,2.1175780406842626,0.00013793992877893764
241,62000,rgb,2.8062113989144564,0.03877047830558833
242,62000,rgb + obj,2.8201669443398716,0.1050423662010784
243,62000,rgb + obj_encoding_only,2.7908124833057326,0.2773939003059356
244,63000,obj,2.094636718183756,6.874249318230671e-05
245,63000,rgb,2.7834339468429485,0.03174936021410203
246,63000,rgb + obj,2.8095413534591596,0.08634435774334863
247,63000,rgb + obj_encoding_only,2.786801847691337,0.2596292265275984
248,64000,obj,2.0992224706336855,0.00048084761412281116
249,64000,rgb,2.7862384323651592,0.11105677080083205
250,64000,rgb + obj,2.8006594185406963,0.06056789432425776
251,64000,rgb + obj_encoding_only,2.7664451285575824,0.2523353529565228
252,65000,obj,2.08092964446793,0.00042470902969873815
253,65000,rgb,2.764833306397001,0.061792963666401704
254,65000,rgb + obj,2.7747526795913777,0.08507697312738273
